id,name,icon
1,Wifi,http://nocanu.ishihisal.fi/allhatas/thaasered.bmp
2,Kitchen,http://yi.hisuldante.no/but/henes.gif
3,Washer,http://ernewaare.com/ingion/at/esth/ngleastha.gif
4,Dryer,https://gitu.ourhinthafor.fi/esandfor/alan/mestyou/hadandereth.bmp
5,"Air conditioning",https://ereted.br/herwaan/teesented.gif
6,Heating,http://theeraforent.at/ith/inghiion/streme/eaforisver.jpg
7,"Dedicated workspace",https://itngnottio.cz/althive/notourtha/setiit/teournt.gif
8,TV,http://neforereuld.se/te/is/ter/ourareforti.bmp
9,"Hair dryer",http://erahieste.tr/uld/ted/teisin/thto.bmp
10,Iron,http://onstas.ge/le/inentwit/allandnt/hatananas.bmp
11,Pool,http://ateratar.gr/vear/needneat.jpg
12,"Hot tub",http://ourallthent.br/ver/thenthe/wasthour/thiouerant.bmp
13,"Free parking on premises",http://thimeouor.ae/ingntuld/tio/ngthetio/thit.bmp
14,"EV charger",https://mengsho.net/terngat/andasher/alhiasat.png
15,Crib,http://bu.herandtohin.be/notioning/tiondin/se/forhinerou.jpg
16,Gym,https://nugaqe.arbutesuld.eg/oulre/eve/withinnt/nealleawas.png
17,"BBQ grill",http://forhaha.net/ea/re/ve/sethinguld.bmp
18,Breakfast,http://pu.hiarouto.cy/arveome/butthere/herereith.png
19,"Indoor fireplace",https://isitheveith.cy/asareon/her/ted/thiatentar.bmp
20,"Smoking allowed",https://estedar.gr/toted/entarfor/notentte/atfortioent.png
21,Beachfront,http://lododi.youstwa.org/tioshoeve/hin/se/arthiwaswit.png
22,Waterfront,https://hathe.org/butionea/nden.png
23,"Smoke alarm",https://bogaba.ittio.ca/and/notwahen/her/hisstveing.jpg
24,"Carbon monoxide alarm",http://annotti.cy/isne/atforfor.jpg
